id,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias
34,rb,Weedle,40,35,30,20,20,50,3.2,0.3,Standard,13,weedle
35,rb,Gyarados,95,125,79,100,100,81,235.0,6.5,Standard,130,gyarados
36,rb,Lapras,130,85,80,95,95,60,220.0,2.5,Standard,131,lapras
37,rb,Ditto,48,48,48,48,48,48,4.0,0.3,Standard,132,ditto
38,rb,Eevee,55,55,50,65,65,55,6.5,0.3,Standard,133,eevee
39,rb,Vaporeon,130,65,60,110,110,65,29.0,1.0,Standard,134,vaporeon
40,rb,Jolteon,65,65,60,110,110,130,24.5,0.8,Standard,135,jolteon
41,rb,Flareon,65,130,60,110,110,65,25.0,0.9,Standard,136,flareon
42,rb,Porygon,65,60,70,75,75,40,36.5,0.8,Standard,137,porygon
43,rb,Omanyte,35,40,100,90,90,35,7.5,0.4,Standard,138,omanyte
44,rb,Omastar,70,60,125,115,115,55,35.0,1.0,Standard,139,omastar
45,rb,Kakuna,45,25,50,25,25,35,10.0,0.6,Standard,14,kakuna
46,rb,Kabuto,30,80,90,45,45,55,11.5,0.5,Standard,140,kabuto
47,rb,Kabutops,60,115,105,70,70,80,40.5,1.3,Standard,141,kabutops
48,rb,Aerodactyl,80,105,65,60,60,130,59.0,1.8,Standard,142,aerodactyl
49,rb,Snorlax,160,110,65,65,65,30,460.0,2.1,Standard,143,snorlax
50,rb,Articuno,90,85,100,125,125,85,55.4,1.7,Standard,144,articuno
51,rb,Zapdos,90,90,85,125,125,100,52.6,1.6,Standard,145,zapdos
52,rb,Moltres,90,100,90,125,125,90,60.0,2.0,Standard,146,moltres
53,rb,Dratini,41,64,45,50,50,50,3.3,1.8,Standard,147,dratini
54,rb,Dragonair,61,84,65,70,70,70,16.5,4.0,Standard,148,dragonair
55,rb,Dragonite,91,134,95,100,100,80,210.0,2.2,Standard,149,dragonite
56,rb,Beedrill,65,80,40,45,45,75,29.5,1.0,Standard,15,beedrill
57,rb,Mewtwo,106,110,90,154,154,130,122.0,2.0,Standard,150,mewtwo
58,rb,Mew,100,100,100,100,100,100,4.0,0.4,Standard,151,mew
59,rb,Pidgey,40,45,40,35,35,56,1.8,0.3,Standard,16,pidgey
60,rb,Pidgeotto,63,60,55,50,50,71,30.0,1.1,Standard,17,pidgeotto
61,rb,Pidgeot,83,80,75,70,70,91,39.5,1.5,Standard,18,pidgeot
62,rb,Rattata,30,56,35,25,25,72,3.5,0.3,Standard,19,rattata
63,rb,Ivysaur,60,62,63,80,80,60,13.0,1.0,Standard,2,ivysaur
64,rb,Raticate,55,81,60,50,50,97,18.5,0.7,Standard,20,raticate
65,rb,Spearow,40,60,30,31,31,70,2.0,0.3,Standard,21,spearow
66,rb,Fearow,65,90,65,61,61,100,38.0,1.2,Standard,22,fearow
67,rb,Ekans,35,60,44,40,40,55,6.9,2.0,Standard,23,ekans
68,rb,Arbok,60,85,69,65,65,80,65.0,3.5,Standard,24,arbok
69,rb,Pikachu,35,55,30,50,50,90,6.0,0.4,Standard,25,pikachu
70,rb,Raichu,60,90,55,90,90,100,30.0,0.8,Standard,26,raichu
71,rb,Sandshrew,50,75,85,30,30,40,12.0,0.6,Standard,27,sandshrew
72,rb,Sandslash,75,100,110,55,55,65,29.5,1.0,Standard,28,sandslash
73,rb,Nidoran-F,55,47,52,40,40,41,7.0,0.4,Standard,29,nidoran-f
74,rb,Venusaur,80,82,83,100,100,80,100.0,2.0,Standard,3,venusaur
75,rb,Nidorina,70,62,67,55,55,56,20.0,0.8,Standard,30,nidorina
76,rb,Nidoqueen,90,82,87,75,75,76,60.0,1.3,Standard,31,nidoqueen
77,rb,Nidoran-M,46,57,40,40,40,50,9.0,0.5,Standard,32,nidoran-m
78,rb,Nidorino,61,72,57,55,55,65,19.5,0.9,Standard,33,nidorino
79,rb,Nidoking,81,92,77,75,75,85,62.0,1.4,Standard,34,nidoking
80,rb,Clefairy,70,45,48,60,60,35,7.5,0.6,Standard,35,clefairy
81,rb,Clefable,95,70,73,85,85,60,40.0,1.3,Standard,36,clefable
82,rb,Vulpix,38,41,40,65,65,65,9.9,0.6,Standard,37,vulpix
83,rb,Ninetales,73,76,75,100,100,100,19.9,1.1,Standard,38,ninetales
84,rb,Jigglypuff,115,45,20,25,25,20,5.5,0.5,Standard,39,jigglypuff
85,rb,Charmander,39,52,43,50,50,65,8.5,0.6,Standard,4,charmander
86,rb,Wigglytuff,140,70,45,50,50,45,12.0,1.0,Standard,40,wigglytuff
87,rb,Zubat,40,45,35,40,40,55,7.5,0.8,Standard,41,zubat
88,rb,Golbat,75,80,70,75,75,90,55.0,1.6,Standard,42,golbat
89,rb,Oddish,45,50,55,75,75,30,5.4,0.5,Standard,43,oddish
90,rb,Gloom,60,65,70,85,85,40,8.6,0.8,Standard,44,gloom
91,rb,Vileplume,75,80,85,100,100,50,18.6,1.2,Standard,45,vileplume
92,rb,Paras,35,70,55,55,55,25,5.4,0.3,Standard,46,paras
93,rb,Parasect,60,95,80,80,80,30,29.5,1.0,Standard,47,parasect
94,rb,Venonat,60,55,50,40,40,45,30.0,1.0,Standard,48,venonat
95,rb,Venomoth,70,65,60,90,90,90,12.5,1.5,Standard,49,venomoth
96,rb,Charmeleon,58,64,58,65,65,80,19.0,1.1,Standard,5,charmeleon
97,rb,Diglett,10,55,25,45,45,95,0.8,0.2,Standard,50,diglett
98,rb,Dugtrio,35,80,50,70,70,120,33.3,0.7,Standard,51,dugtrio
99,rb,Meowth,40,45,35,40,40,90,4.2,0.4,Standard,52,meowth
100,rb,Persian,65,70,60,65,65,115,32.0,1.0,Standard,53,persian
101,rb,Psyduck,50,52,48,50,50,55,19.6,0.8,Standard,54,psyduck
102,rb,Golduck,80,82,78,80,80,85,76.6,1.7,Standard,55,golduck
103,rb,Mankey,40,80,35,35,35,70,28.0,0.5,Standard,56,mankey
104,rb,Primeape,65,105,60,60,60,95,32.0,1.0,Standard,57,primeape
105,rb,Growlithe,55,70,45,50,50,60,19.0,0.7,Standard,58,growlithe
106,rb,Arcanine,90,110,80,80,80,95,155.0,1.9,Standard,59,arcanine
107,rb,Charizard,78,84,78,85,85,100,90.5,1.7,Standard,6,charizard
108,rb,Poliwag,40,50,40,40,40,90,12.4,0.6,Standard,60,poliwag
109,rb,Poliwhirl,65,65,65,50,50,90,20.0,1.0,Standard,61,poliwhirl
110,rb,Poliwrath,90,85,95,70,70,70,54.0,1.3,Standard,62,poliwrath
111,rb,Abra,25,20,15,105,105,90,19.5,0.9,Standard,63,abra
112,rb,Kadabra,40,35,30,120,120,105,56.5,1.3,Standard,64,kadabra
113,rb,Alakazam,55,50,45,135,135,120,48.0,1.5,Standard,65,alakazam
114,rb,Machop,70,80,50,35,35,35,19.5,0.8,Standard,66,machop
115,rb,Machoke,80,100,70,50,50,45,70.5,1.5,Standard,67,machoke
116,rb,Machamp,90,130,80,65,65,55,130.0,1.6,Standard,68,machamp
117,rb,Bellsprout,50,75,35,70,70,40,4.0,0.7,Standard,69,bellsprout
118,rb,Squirtle,44,48,65,50,50,43,9.0,0.5,Standard,7,squirtle
119,rb,Weepinbell,65,90,50,85,85,55,6.4,1.0,Standard,70,weepinbell
120,rb,Victreebel,80,105,65,100,100,70,15.5,1.7,Standard,71,victreebel
121,rb,Tentacool,40,40,35,100,100,70,45.5,0.9,Standard,72,tentacool
122,rb,Tentacruel,80,70,65,120,120,100,55.0,1.6,Standard,73,tentacruel
123,rb,Geodude,40,80,100,30,30,20,20.0,0.4,Standard,74,geodude
124,rb,Graveler,55,95,115,45,45,35,105.0,1.0,Standard,75,graveler
125,rb,Golem,80,110,130,55,55,45,300.0,1.4,Standard,76,golem
126,rb,Ponyta,50,85,55,65,65,90,30.0,1.0,Standard,77,ponyta
127,rb,Rapidash,65,100,70,80,80,105,95.0,1.7,Standard,78,rapidash
128,rb,Slowpoke,90,65,65,40,40,15,36.0,1.2,Standard,79,slowpoke
129,rb,Wartortle,59,63,80,65,65,58,22.5,1.0,Standard,8,wartortle
130,rb,Slowbro,95,75,110,80,80,30,78.5,1.6,Standard,80,slowbro
131,rb,Magnemite,25,35,70,95,95,45,6.0,0.3,Standard,81,magnemite
132,rb,Magneton,50,60,95,120,120,70,60.0,1.0,Standard,82,magneton
133,rb,Farfetch'd,52,65,55,58,58,60,15.0,0.8,Standard,83,farfetch-d
134,rb,Doduo,35,85,45,35,35,75,39.2,1.4,Standard,84,doduo
135,rb,Dodrio,60,110,70,60,60,100,85.2,1.8,Standard,85,dodrio
136,rb,Seel,65,45,55,70,70,45,90.0,1.1,Standard,86,seel
137,rb,Dewgong,90,70,80,95,95,70,120.0,1.7,Standard,87,dewgong
138,rb,Grimer,80,80,50,40,40,25,30.0,0.9,Standard,88,grimer
139,rb,Muk,105,105,75,65,65,50,30.0,1.2,Standard,89,muk
140,rb,Blastoise,79,83,100,85,85,78,85.5,1.6,Standard,9,blastoise
141,rb,Shellder,30,65,100,45,45,40,4.0,0.3,Standard,90,shellder
142,rb,Cloyster,50,95,180,85,85,70,132.5,1.5,Standard,91,cloyster
143,rb,Gastly,30,35,30,100,100,80,0.1,1.3,Standard,92,gastly
144,rb,Haunter,45,50,45,115,115,95,0.1,1.6,Standard,93,haunter
145,rb,Gengar,60,65,60,130,130,110,40.5,1.5,Standard,94,gengar
146,rb,Onix,35,45,160,30,30,70,210.0,8.8,Standard,95,onix
147,rb,Drowzee,60,48,45,90,90,42,32.4,1.0,Standard,96,drowzee
148,rb,Hypno,85,73,70,115,115,67,75.6,1.6,Standard,97,hypno
149,rb,Krabby,30,105,90,25,25,50,6.5,0.4,Standard,98,krabby
150,rb,Kingler,55,130,115,50,50,75,60.0,1.3,Standard,99,kingler
151,gs,Bulbasaur,45,49,49,65,65,45,6.9,0.7,Standard,1,bulbasaur
152,gs,Caterpie,45,30,35,20,20,45,2.9,0.3,Standard,10,caterpie
153,gs,Voltorb,40,30,50,55,55,100,10.4,0.5,Standard,100,voltorb
154,gs,Electrode,60,50,70,80,80,140,66.6,1.2,Standard,101,electrode
155,gs,Exeggcute,60,40,80,60,45,40,2.5,0.4,Standard,102,exeggcute
156,gs,Exeggutor,95,95,85,125,65,55,120.0,2.0,Standard,103,exeggutor
157,gs,Cubone,50,50,95,40,50,35,6.5,0.4,Standard,104,cubone
158,gs,Marowak,60,80,110,50,80,45,45.0,1.0,Standard,105,marowak
159,gs,Hitmonlee,50,120,53,35,110,87,49.8,1.5,Standard,106,hitmonlee
160,gs,Hitmonchan,50,105,79,35,110,76,50.2,1.4,Standard,107,hitmonchan
161,gs,Lickitung,90,55,75,60,75,30,65.5,1.2,Standard,108,lickitung
162,gs,Koffing,40,65,95,60,45,35,1.0,0.6,Standard,109,koffing
163,gs,Metapod,50,20,55,25,25,30,9.9,0.7,Standard,11,metapod
164,gs,Weezing,65,90,120,85,70,60,9.5,1.2,Standard,110,weezing
165,gs,Rhyhorn,80,85,95,30,30,25,115.0,1.0,Standard,111,rhyhorn
166,gs,Rhydon,105,130,120,45,45,40,120.0,1.9,Standard,112,rhydon
167,gs,Chansey,250,5,5,35,105,50,34.6,1.1,Standard,113,chansey
168,gs,Tangela,65,55,115,100,40,60,35.0,1.0,Standard,114,tangela
169,gs,Kangaskhan,105,95,80,40,80,90,80.0,2.2,Standard,115,kangaskhan
170,gs,Horsea,30,40,70,70,25,60,8.0,0.4,Standard,116,horsea
171,gs,Seadra,55,65,95,95,45,85,25.0,1.2,Standard,117,seadra
172,gs,Goldeen,45,67,60,35,50,63,15.0,0.6,Standard,118,goldeen
173,gs,Seaking,80,92,65,65,80,68,39.0,1.3,Standard,119,seaking
174,gs,Butterfree,60,45,50,80,80,70,32.0,1.1,Standard,12,butterfree
175,gs,Staryu,30,45,55,70,55,85,34.5,0.8,Standard,120,staryu
176,gs,Starmie,60,75,85,100,85,115,80.0,1.1,Standard,121,starmie
177,gs,Mr. Mime,40,45,65,100,120,90,54.5,1.3,Standard,122,mr-mime
178,gs,Scyther,70,110,80,55,80,105,56.0,1.5,Standard,123,scyther
179,gs,Jynx,65,50,35,115,95,95,40.6,1.4,Standard,124,jynx
180,gs,Electabuzz,65,83,57,95,85,105,30.0,1.1,Standard,125,electabuzz
181,gs,Magmar,65,95,57,100,85,93,44.5,1.3,Standard,126,magmar
182,gs,Pinsir,65,125,100,55,70,85,55.0,1.5,Standard,127,pinsir
183,gs,Tauros,75,100,95,40,70,110,88.4,1.4,Standard,128,tauros
184,gs,Magikarp,20,10,55,15,20,80,10.0,0.9,Standard,129,magikarp
185,gs,Weedle,40,35,30,20,20,50,3.2,0.3,Standard,13,weedle
186,gs,Gyarados,95,125,79,60,100,81,235.0,6.5,Standard,130,gyarados
187,gs,Lapras,130,85,80,85,95,60,220.0,2.5,Standard,131,lapras
188,gs,Ditto,48,48,48,48,48,48,4.0,0.3,Standard,132,ditto
189,gs,Eevee,55,55,50,45,65,55,6.5,0.3,Standard,133,eevee
190,gs,Vaporeon,130,65,60,110,95,65,29.0,1.0,Standard,134,vaporeon
191,gs,Jolteon,65,65,60,110,95,130,24.5,0.8,Standard,135,jolteon
192,gs,Flareon,65,130,60,95,110,65,25.0,0.9,Standard,136,flareon
193,gs,Porygon,65,60,70,85,75,40,36.5,0.8,Standard,137,porygon
194,gs,Omanyte,35,40,100,90,55,35,7.5,0.4,Standard,138,omanyte
195,gs,Omastar,70,60,125,115,70,55,35.0,1.0,Standard,139,omastar
196,gs,Kakuna,45,25,50,25,25,35,10.0,0.6,Standard,14,kakuna
197,gs,Kabuto,30,80,90,55,45,55,11.5,0.5,Standard,140,kabuto
198,gs,Kabutops,60,115,105,65,70,80,40.5,1.3,Standard,141,kabutops
199,gs,Aerodactyl,80,105,65,60,75,130,59.0,1.8,Standard,142,aerodactyl
200,gs,Snorlax,160,110,65,65,110,30,460.0,2.1,Standard,143,snorlax
201,gs,Articuno,90,85,100,95,125,85,55.4,1.7,Standard,144,articuno
202,gs,Zapdos,90,90,85,125,90,100,52.6,1.6,Standard,145,zapdos
203,gs,Moltres,90,100,90,125,85,90,60.0,2.0,Standard,146,moltres
204,gs,Dratini,41,64,45,50,50,50,3.3,1.8,Standard,147,dratini
205,gs,Dragonair,61,84,65,70,70,70,16.5,4.0,Standard,148,dragonair
206,gs,Dragonite,91,134,95,100,100,80,210.0,2.2,Standard,149,dragonite
207,gs,Beedrill,65,80,40,45,80,75,29.5,1.0,Standard,15,beedrill
208,gs,Mewtwo,106,110,90,154,90,130,122.0,2.0,Standard,150,mewtwo
209,gs,Mew,100,100,100,100,100,100,4.0,0.4,Standard,151,mew
210,gs,Chikorita,45,49,65,49,65,45,6.4,0.9,Standard,152,chikorita
211,gs,Bayleef,60,62,80,63,80,60,15.8,1.2,Standard,153,bayleef
212,gs,Meganium,80,82,100,83,100,80,100.5,1.8,Standard,154,meganium
213,gs,Cyndaquil,39,52,43,60,50,65,7.9,0.5,Standard,155,cyndaquil
214,gs,Quilava,58,64,58,80,65,80,19.0,0.9,Standard,156,quilava
215,gs,Typhlosion,78,84,78,109,85,100,79.5,1.7,Standard,157,typhlosion
216,gs,Totodile,50,65,64,44,48,43,9.5,0.6,Standard,158,totodile
217,gs,Croconaw,65,80,80,59,63,58,25.0,1.1,Standard,159,croconaw
218,gs,Pidgey,40,45,40,35,35,56,1.8,0.3,Standard,16,pidgey
219,gs,Feraligatr,85,105,100,79,83,78,88.8,2.3,Standard,160,feraligatr
220,gs,Sentret,35,46,34,35,45,20,6.0,0.8,Standard,161,sentret
221,gs,Furret,85,76,64,45,55,90,32.5,1.8,Standard,162,furret
222,gs,Hoothoot,60,30,30,36,56,50,21.2,0.7,Standard,163,hoothoot
223,gs,Noctowl,100,50,50,76,96,70,40.8,1.6,Standard,164,noctowl
224,gs,Ledyba,40,20,30,40,80,55,10.8,1.0,Standard,165,ledyba
225,gs,Ledian,55,35,50,55,110,85,35.6,1.4,Standard,166,ledian
226,gs,Spinarak,40,60,40,40,40,30,8.5,0.5,Standard,167,spinarak
227,gs,Ariados,70,90,70,60,60,40,33.5,1.1,Standard,168,ariados
228,gs,Crobat,85,90,80,70,80,130,75.0,1.8,Standard,169,crobat
229,gs,Pidgeotto,63,60,55,50,50,71,30.0,1.1,Standard,17,pidgeotto
230,gs,Chinchou,75,38,38,56,56,67,12.0,0.5,Standard,170,chinchou
231,gs,Lanturn,125,58,58,76,76,67,22.5,1.2,Standard,171,lanturn
232,gs,Pichu,20,40,15,35,35,60,2.0,0.3,Standard,172,pichu
233,gs,Cleffa,50,25,28,45,55,15,3.0,0.3,Standard,173,cleffa
234,gs,Igglybuff,90,30,15,40,20,15,1.0,0.3,Standard,174,igglybuff
235,gs,Togepi,35,20,65,40,65,20,1.5,0.3,Standard,175,togepi
236,gs,Togetic,55,40,85,80,105,40,3.2,0.6,Standard,176,togetic
237,gs,Natu,40,50,45,70,45,70,2.0,0.2,Standard,177,natu
238,gs,Xatu,65,75,70,95,70,95,15.0,1.5,Standard,178,xatu
239,gs,Mareep,55,40,40,65,45,35,7.8,0.6,Standard,179,mareep
240,gs,Pidgeot,83,80,75,70,70,91,39.5,1.5,Standard,18,pidgeot
241,gs,Flaaffy,70,55,55,80,60,45,13.3,0.8,Standard,180,flaaffy
242,gs,Ampharos,90,75,75,115,90,55,61.5,1.4,Standard,181,ampharos
243,gs,Bellossom,75,80,85,90,100,50,5.8,0.4,Standard,182,bellossom
244,gs,Marill,70,20,50,20,50,40,8.5,0.4,Standard,183,marill
245,gs,Azumarill,100,50,80,50,80,50,28.5,0.8,Standard,184,azumarill
246,gs,Sudowoodo,70,100,115,30,65,30,38.0,1.2,Standard,185,sudowoodo
247,gs,Politoed,90,75,75,90,100,70,33.9,1.1,Standard,186,politoed
248,gs,Hoppip,35,35,40,35,55,50,0.5,0.4,Standard,187,hoppip
249,gs,Skiploom,55,45,50,45,65,80,1.0,0.6,Standard,188,skiploom
250,gs,Jumpluff,75,55,70,55,85,110,3.0,0.8,Standard,189,jumpluff
251,gs,Rattata,30,56,35,25,35,72,3.5,0.3,Standard,19,rattata
252,gs,Aipom,55,70,55,40,55,85,11.5,0.8,Standard,190,aipom
253,gs,Sunkern,30,30,30,30,30,30,1.8,0.3,Standard,191,sunkern
254,gs,Sunflora,75,75,55,105,85,30,8.5,0.8,Standard,192,sunflora
255,gs,Yanma,65,65,45,75,45,95,38.0,1.2,Standard,193,yanma
256,gs,Wooper,55,45,45,25,25,15,8.5,0.4,Standard,194,wooper
257,gs,Quagsire,95,85,85,65,65,35,75.0,1.4,Standard,195,quagsire
258,gs,Espeon,65,65,60,130,95,110,26.5,0.9,Standard,196,espeon
259,gs,Umbreon,95,65,110,60,130,65,27.0,1.0,Standard,197,umbreon
260,gs,Murkrow,60,85,42,85,42,91,2.1,0.5,Standard,198,murkrow
261,gs,Slowking,95,75,80,100,110,30,79.5,2.0,Standard,199,slowking
262,gs,Ivysaur,60,62,63,80,80,60,13.0,1.0,Standard,2,ivysaur
263,gs,Raticate,55,81,60,50,70,97,18.5,0.7,Standard,20,raticate
264,gs,Misdreavus,60,60,60,85,85,85,1.0,0.7,Standard,200,misdreavus
265,gs,Unown,48,72,48,72,48,48,5.0,0.5,Standard,201,unown
266,gs,Wobbuffet,190,33,58,33,58,33,28.5,1.3,Standard,202,wobbuffet
267,gs,Girafarig,70,80,65,90,65,85,41.5,1.5,Standard,203,girafarig
268,gs,Pineco,50,65,90,35,35,15,7.2,0.6,Standard,204,pineco
269,gs,Forretress,75,90,140,60,60,40,125.8,1.2,Standard,205,forretress
270,gs,Dunsparce,100,70,70,65,65,45,14.0,1.5,Standard,206,dunsparce
271,gs,Gligar,65,75,105,35,65,85,64.8,1.1,Standard,207,gligar
272,gs,Steelix,75,85,200,55,65,30,400.0,9.2,Standard,208,steelix
273,gs,Snubbull,60,80,50,40,40,30,7.8,0.6,Standard,209,snubbull
274,gs,Spearow,40,60,30,31,31,70,2.0,0.3,Standard,21,spearow
275,gs,Granbull,90,120,75,60,60,45,48.7,1.4,Standard,210,granbull
276,gs,Qwilfish,65,95,75,55,55,85,3.9,0.5,Standard,211,qwilfish
277,gs,Scizor,70,130,100,55,80,65,118.0,1.8,Standard,212,scizor
278,gs,Shuckle,20,10,230,10,230,5,20.5,0.6,Standard,213,shuckle
279,gs,Heracross,80,125,75,40,95,85,54.0,1.5,Standard,214,heracross
280,gs,Sneasel,55,95,55,35,75,115,28.0,0.9,Standard,215,sneasel
281,gs,Teddiursa,60,80,50,50,50,40,8.8,0.6,Standard,216,teddiursa
282,gs,Ursaring,90,130,75,75,75,55,125.8,1.8,Standard,217,ursaring
283,gs,Slugma,40,40,40,70,40,20,35.0,0.7,Standard,218,slugma
284,gs,Magcargo,50,50,120,80,80,30,55.0,0.8,Standard,219,magcargo
285,gs,Fearow,65,90,65,61,61,100,38.0,1.2,Standard,22,fearow
286,gs,Swinub,50,50,40,30,30,50,6.5,0.4,Standard,220,swinub
287,gs,Piloswine,100,100,80,60,60,50,55.8,1.1,Standard,221,piloswine
288,gs,Corsola,55,55,85,65,85,35,5.0,0.6,Standard,222,corsola
289,gs,Remoraid,35,65,35,65,35,65,12.0,0.6,Standard,223,remoraid
290,gs,Octillery,75,105,75,105,75,45,28.5,0.9,Standard,224,octillery
291,gs,Delibird,45,55,45,65,45,75,16.0,0.9,Standard,225,delibird
292,gs,Mantine,65,40,70,80,140,70,220.0,2.1,Standard,226,mantine
293,gs,Skarmory,65,80,140,40,70,70,50.5,1.7,Standard,227,skarmory
294,gs,Houndour,45,60,30,80,50,65,10.8,0.6,Standard,228,houndour
295,gs,Houndoom,75,90,50,110,80,95,35.0,1.4,Standard,229,houndoom
296,gs,Ekans,35,60,44,40,54,55,6.9,2.0,Standard,23,ekans
297,gs,Kingdra,75,95,95,95,95,85,152.0,1.8,Standard,230,kingdra
298,gs,Phanpy,90,60,60,40,40,40,33.5,0.5,Standard,231,phanpy
299,gs,Donphan,90,120,120,60,60,50,120.0,1.1,Standard,232,donphan
300,gs,Porygon2,85,80,90,105,95,60,32.5,0.6,Standard,233,porygon2
301,gs,Stantler,73,95,62,85,65,85,71.2,1.4,Standard,234,stantler
302,gs,Smeargle,55,20,35,20,45,75,58.0,1.2,Standard,235,smeargle
303,gs,Tyrogue,35,35,35,35,35,35,21.0,0.7,Standard,236,tyrogue
304,gs,Hitmontop,50,95,95,35,110,70,48.0,1.4,Standard,237,hitmontop
305,gs,Smoochum,45,30,15,85,65,65,6.0,0.4,Standard,238,smoochum
306,gs,Elekid,45,63,37,65,55,95,23.5,0.6,Standard,239,elekid
307,gs,Arbok,60,85,69,65,79,80,65.0,3.5,Standard,24,arbok
308,gs,Magby,45,75,37,70,55,83,21.4,0.7,Standard,240,magby
309,gs,Miltank,95,80,105,40,70,100,75.5,1.2,Standard,241,miltank
310,gs,Blissey,255,10,10,75,135,55,46.8,1.5,Standard,242,blissey
311,gs,Raikou,90,85,75,115,100,115,178.0,1.9,Standard,243,raikou
312,gs,Entei,115,115,85,90,75,100,198.0,2.1,Standard,244,entei
313,gs,Suicune,100,75,115,90,115,85,187.0,2.0,Standard,245,suicune
314,gs,Larvitar,50,64,50,45,50,41,72.0,0.6,Standard,246,larvitar
315,gs,Pupitar,70,84,70,65,70,51,152.0,1.2,Standard,247,pupitar
316,gs,Tyranitar,100,134,110,95,100,61,202.0,2.0,Standard,248,tyranitar
317,gs,Lugia,106,90,130,90,154,110,216.0,5.2,Standard,249,lugia
318,gs,Pikachu,35,55,30,50,40,90,6.0,0.4,Standard,25,pikachu
319,gs,Ho-Oh,106,130,90,110,154,90,199.0,3.8,Standard,250,ho-oh
320,gs,Celebi,100,100,100,100,100,100,5.0,0.6,Standard,251,celebi
321,gs,Raichu,60,90,55,90,80,100,30.0,0.8,Standard,26,raichu
322,gs,Sandshrew,50,75,85,20,30,40,12.0,0.6,Standard,27,sandshrew
323,gs,Sandslash,75,100,110,45,55,65,29.5,1.0,Standard,28,sandslash
324,gs,Nidoran-F,55,47,52,40,40,41,7.0,0.4,Standard,29,nidoran-f
325,gs,Venusaur,80,82,83,100,100,80,100.0,2.0,Standard,3,venusaur
326,gs,Nidorina,70,62,67,55,55,56,20.0,0.8,Standard,30,nidorina
327,gs,Nidoqueen,90,82,87,75,85,76,60.0,1.3,Standard,31,nidoqueen
328,gs,Nidoran-M,46,57,40,40,40,50,9.0,0.5,Standard,32,nidoran-m
329,gs,Nidorino,61,72,57,55,55,65,19.5,0.9,Standard,33,nidorino
330,gs,Nidoking,81,92,77,85,75,85,62.0,1.4,Standard,34,nidoking
331,gs,Clefairy,70,45,48,60,65,35,7.5,0.6,Standard,35,clefairy
332,gs,Clefable,95,70,73,85,90,60,40.0,1.3,Standard,36,clefable
333,gs,Vulpix,38,41,40,50,65,65,9.9,0.6,Standard,37,vulpix
