formats,gen,name,hp,atk,def,spa,spd,spe,weight,height,isNonstandard,dex_number,alias,Type 1,Type 2,is_Strong
OU,sv,Raichu-Alola,60,85,50,95,85,110,21.0,0.7,Standard,26.0,raichu-alola,Electric,Psychic,1
PU,sm,Dodrio,60,110,70,60,60,110,85.2,1.8,Standard,85.0,dodrio,Normal,Flying,0
NFE,ss,Metapod,50,20,55,25,25,30,9.9,0.7,Standard,11.0,metapod,Bug,None,0
Uber,ss,Zekrom,100,150,120,120,100,90,345.0,2.9,Standard,644.0,zekrom,Dragon,Electric,1
UU,sv,Lucario,70,110,70,115,70,90,54.0,1.2,Standard,448.0,lucario,Fighting,Steel,0
PU,xy,Rampardos,97,165,60,65,50,58,102.5,1.6,Standard,409.0,rampardos,Rock,None,0
PU,bw,Glalie,80,80,80,80,80,80,256.5,1.5,Standard,362.0,glalie,Ice,None,0
RU,ss,Togekiss,85,50,95,120,115,80,38.0,1.5,Standard,468.0,togekiss,Fairy,Flying,0
LC,ss,Tympole,50,50,40,50,40,64,4.5,0.5,Standard,535.0,tympole,Water,None,0
PU,bw,Regigigas,110,160,110,80,110,100,420.0,3.7,Standard,486.0,regigigas,Normal,None,0
UU,sv,Tyranitar,100,134,110,95,100,61,202.0,2.0,Standard,248.0,tyranitar,Rock,Dark,0
PU,bw,Seaking,80,92,65,65,80,68,39.0,1.3,Standard,119.0,seaking,Water,None,0
LC,ss,Anorith,45,95,50,40,50,75,12.5,0.7,Standard,347.0,anorith,Rock,Bug,0
RU,ss,Celebi,100,100,100,100,100,100,5.0,0.6,Standard,251.0,celebi,Psychic,Grass,0
RU,sm,Yanmega,86,76,86,116,56,95,51.5,1.9,Standard,469.0,yanmega,Bug,Flying,0
NFE,ss,Herdier,65,80,65,35,65,60,14.7,0.9,Standard,507.0,herdier,Normal,None,0
NU,sv,Umbreon,95,65,110,60,130,65,27.0,1.0,Standard,197.0,umbreon,Dark,None,0
UU,sv,Alomomola,165,75,80,40,45,65,31.6,1.2,Standard,594.0,alomomola,Water,None,0
PUBL,sv,Magneton,50,60,95,120,70,70,60.0,1.0,Standard,82.0,magneton,Electric,Steel,0
PU,sv,Honchkrow,100,125,52,105,52,71,27.3,0.9,Standard,430.0,honchkrow,Dark,Flying,0
NU,sv,Toxicroak,83,106,65,86,65,85,44.4,1.3,Standard,454.0,toxicroak,Poison,Fighting,0
NU,ss,Golurk,89,124,80,55,80,55,330.0,2.8,Standard,623.0,golurk,Ground,Ghost,0
NFE,ss,Magby,45,75,37,70,55,83,21.4,0.7,Standard,240.0,magby,Fire,None,0
LC,sv,Swablu,45,40,60,40,75,50,1.2,0.4,Standard,333.0,swablu,Normal,Flying,0
UU,sv,Scizor,70,130,100,55,80,65,118.0,1.8,Standard,212.0,scizor,Bug,Steel,0
LC,ss,Phantump,43,70,48,50,60,38,7.0,0.4,Standard,708.0,phantump,Ghost,Grass,0
PU,bw,Simisear,75,98,63,98,63,101,28.0,1.0,Standard,514.0,simisear,Fire,None,0
OU,sv,Garganacl,100,100,130,45,90,35,240.0,2.5,Standard,934.0,garganacl,Rock,None,1
LC,sv,Houndour,45,60,30,80,50,65,10.8,0.6,Standard,228.0,houndour,Dark,Fire,0
LC,sv,Dreepy,28,60,30,40,30,82,2.0,0.5,Standard,885.0,dreepy,Dragon,Ghost,0
LC,sv,Numel,60,60,40,65,45,35,24.0,0.7,Standard,322.0,numel,Fire,Ground,0
Uber,ss,Solgaleo,137,137,107,113,89,97,230.0,3.4,Standard,791.0,solgaleo,Psychic,Steel,1
OU,sv,Rotom-Wash,50,65,107,105,107,86,0.3,0.3,Standard,479.0,rotom-wash,Electric,Water,1
LC,sv,Bagon,45,75,60,40,30,50,42.1,0.6,Standard,371.0,bagon,Dragon,None,0
LC,ss,Baltoy,40,40,55,40,70,55,21.5,0.5,Standard,343.0,baltoy,Ground,Psychic,0
UU,ss,Excadrill,110,135,60,50,65,88,40.4,0.7,Standard,530.0,excadrill,Ground,Steel,0
LC,sm,Nosepass,30,45,135,45,90,30,97.0,1.0,Standard,299.0,nosepass,Rock,None,0
NFE,sv,Eelektrik,65,85,70,75,70,40,22.0,1.2,Standard,603.0,eelektrik,Electric,None,0
NFE,ss,Wartortle,59,63,80,65,80,58,22.5,1.0,Standard,8.0,wartortle,Water,None,0
NFE,sv,Quilava,58,64,58,80,65,80,19.0,0.9,Standard,156.0,quilava,Fire,None,0
LC,ss,Timburr,75,80,55,25,35,35,12.5,0.6,Standard,532.0,timburr,Fighting,None,0
PU,sv,Perrserker,70,110,100,50,60,50,28.0,0.8,Standard,863.0,perrserker,Steel,None,0
LC,sv,Larvesta,55,85,55,50,55,60,28.8,1.1,Standard,636.0,larvesta,Bug,Fire,0
PU,sv,Rabsca,75,50,85,115,100,45,3.5,0.3,Standard,954.0,rabsca,Bug,Psychic,0
Uber,sv,Regieleki,80,100,50,100,50,200,145.0,1.2,Standard,894.0,regieleki,Electric,None,1
OU,ss,Buzzwole,107,139,139,53,53,79,333.6,2.4,Standard,794.0,buzzwole,Bug,Fighting,1
PU,ss,Comfey,51,52,90,82,110,100,0.3,0.1,Standard,764.0,comfey,Fairy,None,0
LC,sv,Wiglett,10,55,25,35,25,95,1.8,1.2,Standard,960.0,wiglett,Water,None,0
LC,sv,Shroodle,40,65,35,40,35,75,0.7,0.2,Standard,944.0,shroodle,Poison,Normal,0
UU,sm,Empoleon,84,86,88,111,101,60,84.5,1.7,Standard,395.0,empoleon,Water,Steel,0
Uber,ss,Dracovish,90,90,100,70,80,75,215.0,2.3,Standard,882.0,dracovish,Water,Dragon,1
UUBL,ss,Aegislash,60,50,140,50,140,60,53.0,1.7,Standard,681.0,aegislash,Steel,Ghost,1
LC,sm,Tepig,65,63,45,45,45,45,9.9,0.5,Standard,498.0,tepig,Fire,None,0
OU,ss,Blacephalon,53,127,53,151,79,107,13.0,1.8,Standard,806.0,blacephalon,Fire,Ghost,1
LC,sm,Panpour,50,53,48,53,48,64,13.5,0.6,Standard,515.0,panpour,Water,None,0
PU,sv,Houndoom,75,90,50,110,80,95,35.0,1.4,Standard,229.0,houndoom,Dark,Fire,0
RU,sv,Altaria,75,70,90,70,105,80,20.6,1.1,Standard,334.0,altaria,Dragon,Flying,0
OU,sv,Diancie,50,100,150,100,150,50,8.8,0.7,Standard,719.0,diancie,Rock,Fairy,1
RUBL,xy,Shuckle,20,10,230,10,230,5,20.5,0.6,Standard,213.0,shuckle,Bug,Rock,0
OU,sv,Slowbro-Galar,95,100,95,100,70,30,70.5,1.6,Standard,80.0,slowbro-galar,Poison,Psychic,1
OU,sv,Dragonite,91,134,95,100,100,80,210.0,2.2,Standard,149.0,dragonite,Dragon,Flying,1
PU,xy,Mawile,50,85,85,55,55,50,11.5,0.6,Standard,303.0,mawile,Steel,Fairy,0
UU,sv,Sandy Shocks,85,81,97,121,85,101,60.0,2.3,Standard,989.0,sandy-shocks,Electric,Ground,0
Uber,sv,Palkia-Origin,90,100,100,150,120,120,660.0,6.3,Standard,484.0,palkia-origin,Water,Dragon,1
OU,ss,Victini,100,100,100,100,100,100,4.0,0.4,Standard,494.0,victini,Psychic,Fire,1
PU,xy,Lickilicky,110,85,95,80,95,50,140.0,1.7,Standard,463.0,lickilicky,Normal,None,0
LC,ss,Wailmer,130,70,35,70,35,60,130.0,2.0,Standard,320.0,wailmer,Water,None,0
NU,sv,Vaporeon,130,65,60,110,95,65,29.0,1.0,Standard,134.0,vaporeon,Water,None,0
NFE,ss,Poipole,67,73,67,73,67,73,1.8,0.6,Standard,803.0,poipole,Poison,None,0
PU,bw,Minun,60,40,50,75,85,95,4.2,0.4,Standard,312.0,minun,Electric,None,0
PU,ss,Ferroseed,44,50,91,24,86,10,18.8,0.6,Standard,597.0,ferroseed,Grass,Steel,0
OU,sv,Walking Wake,99,83,91,125,83,109,280.0,3.5,Standard,1009.0,walking-wake,Water,Dragon,1
LC,ss,Bulbasaur,45,49,49,65,65,45,6.9,0.7,Standard,1.0,bulbasaur,Grass,Poison,0
PU,bw,Swalot,100,73,83,73,83,55,80.0,1.7,Standard,317.0,swalot,Poison,None,0
LC,ss,Tyrunt,58,89,77,45,45,48,26.0,0.8,Standard,696.0,tyrunt,Rock,Dragon,0
LC,ss,Solosis,45,30,40,105,50,20,1.0,0.3,Standard,577.0,solosis,Psychic,None,0
NU,sv,Bombirdier,70,103,85,60,85,82,42.9,1.5,Standard,962.0,bombirdier,Flying,Dark,0
PU,xy,Zebstrika,75,100,63,80,63,116,79.5,1.6,Standard,523.0,zebstrika,Electric,None,0
LC,sv,Charcadet,40,50,40,50,40,35,10.5,0.6,Standard,935.0,charcadet,Fire,None,0
LC,sv,Shuppet,44,75,35,63,33,45,2.3,0.6,Standard,353.0,shuppet,Ghost,None,0
LC,ss,Cleffa,50,25,28,45,55,15,3.0,0.3,Standard,173.0,cleffa,Fairy,None,0
NFE,ss,Magmar,65,95,57,100,85,93,44.5,1.3,Standard,126.0,magmar,Fire,None,0
NFE,sv,Zweilous,72,85,70,65,70,58,50.0,1.4,Standard,634.0,zweilous,Dark,Dragon,0
LC,sm,Bidoof,59,45,40,35,40,31,20.0,0.5,Standard,399.0,bidoof,Normal,None,0
LC,sv,Quaxly,55,65,45,50,45,50,6.1,0.5,Standard,912.0,quaxly,Water,None,0
RU,sv,Cloyster,50,95,180,85,45,70,132.5,1.5,Standard,91.0,cloyster,Water,Ice,0
UU,sv,Toedscruel,80,70,65,80,120,100,58.0,1.9,Standard,949.0,toedscruel,Ground,Grass,0
PU,bw,Bellossom,75,80,85,90,100,50,5.8,0.4,Standard,182.0,bellossom,Grass,None,0
NU,xy,Shiftry,90,100,60,90,60,80,59.6,1.3,Standard,275.0,shiftry,Grass,Dark,0
OU,sv,Overqwil,85,115,95,65,65,85,3.9,0.5,Standard,904.0,overqwil,Dark,Poison,1
NFE,sm,Weepinbell,65,90,50,85,45,55,6.4,1.0,Standard,70.0,weepinbell,Grass,Poison,0
PU,bw,Shedinja,1,90,45,30,30,40,1.2,0.8,Standard,292.0,shedinja,Bug,Ghost,0
RU,sv,Ditto,48,48,48,48,48,48,4.0,0.3,Standard,132.0,ditto,Normal,None,0
PU,bw,Delcatty,70,65,65,55,55,70,32.6,1.1,Standard,301.0,delcatty,Normal,None,0
RU,sv,Sylveon,95,65,65,110,130,60,23.5,1.0,Standard,700.0,sylveon,Fairy,None,0
PU,bw,Spinda,60,60,60,60,60,60,5.0,1.1,Standard,327.0,spinda,Normal,None,0
OU,sv,Zapdos-Galar,90,125,90,85,90,100,58.2,1.6,Standard,145.0,zapdos-galar,Fighting,Flying,1
OU,sv,Zoroark-Hisui,55,100,60,125,60,110,73.0,1.6,Standard,571.0,zoroark-hisui,Normal,Ghost,1
PU,xy,Flareon,65,130,60,95,110,65,25.0,0.9,Standard,136.0,flareon,Fire,None,0
PU,sv,Carkol,80,60,90,60,70,50,78.0,1.1,Standard,838.0,carkol,Rock,Fire,0
LC,sm,Ledyba,40,20,30,40,80,55,10.8,1.0,Standard,165.0,ledyba,Bug,Flying,0
LC,ss,Nidoran-F,55,47,52,40,40,41,7.0,0.4,Standard,29.0,nidoran-f,Poison,None,0
RU,sv,Krookodile,95,117,80,65,70,92,96.3,1.5,Standard,553.0,krookodile,Ground,Dark,0
LC,sv,Wooper-Paldea,55,45,45,25,25,15,8.5,0.4,Standard,194.0,wooper-paldea,Poison,Ground,0
OU,ss,Melmetal,135,143,143,80,65,34,800.0,2.5,Standard,809.0,melmetal,Steel,None,1
NFE,sv,Rufflet,70,83,50,37,50,60,10.5,0.5,Standard,627.0,rufflet,Normal,Flying,0
LC,ss,Chinchou,75,38,38,56,56,67,12.0,0.5,Standard,170.0,chinchou,Water,Electric,0
NU,xy,Electivire,75,123,67,95,85,95,138.6,1.8,Standard,466.0,electivire,Electric,None,0
PU,sm,Kabutops,60,115,105,65,70,80,40.5,1.3,Standard,141.0,kabutops,Rock,Water,0
LC,sv,Igglybuff,90,30,15,40,20,15,1.0,0.3,Standard,174.0,igglybuff,Normal,Fairy,0
LC,ss,Squirtle,44,48,65,50,64,43,9.0,0.5,Standard,7.0,squirtle,Water,None,0
PU,bw,Heatmor,85,97,66,105,66,65,58.0,1.4,Standard,631.0,heatmor,Fire,None,0
RU,ss,Golisopod,75,125,140,60,90,40,108.0,2.0,Standard,768.0,golisopod,Bug,Water,0
LC,sm,Geodude-Alola,40,80,100,30,30,20,20.3,0.4,Standard,74.0,geodude-alola,Rock,Electric,0
NUBL,sv,Florges,78,65,68,112,154,75,10.0,1.1,Standard,671.0,florges,Fairy,None,0
LC,sm,Glameow,49,55,42,42,37,85,3.9,0.5,Standard,431.0,glameow,Normal,None,0
LC,ss,Elekid,45,63,37,65,55,95,23.5,0.6,Standard,239.0,elekid,Electric,None,0
OU,sv,Moltres-Galar,90,85,90,100,125,90,66.0,2.0,Standard,146.0,moltres-galar,Dark,Flying,1
UU,ss,Tapu Bulu,70,130,115,85,95,75,45.5,1.9,Standard,787.0,tapu-bulu,Grass,Fairy,0
PU,xy,Smeargle,55,20,35,20,45,75,58.0,1.2,Standard,235.0,smeargle,Normal,None,0
NFE,ss,Piloswine,100,100,80,60,60,50,55.8,1.1,Standard,221.0,piloswine,Ice,Ground,0
LC,ss,Pidove,50,55,50,36,30,43,2.1,0.3,Standard,519.0,pidove,Normal,Flying,0
RU,sv,Froslass,70,80,70,80,70,110,26.6,1.3,Standard,478.0,froslass,Ice,Ghost,0
LC,sv,Eevee,55,55,50,45,65,55,6.5,0.3,Standard,133.0,eevee,Normal,None,0
UU,sv,Wo-Chien,85,85,100,95,135,70,74.2,1.5,Standard,1001.0,wo-chien,Dark,Grass,0
LC,sv,Tandemaus,50,50,45,40,45,75,1.8,0.3,Standard,924.0,tandemaus,Normal,None,0
OU,bw,Politoed,90,75,75,90,100,70,33.9,1.1,Standard,186.0,politoed,Water,None,1
NFE,ss,Golbat,75,80,70,65,75,90,55.0,1.6,Standard,42.0,golbat,Poison,Flying,0
NFE,ss,Klang,60,80,95,70,85,50,51.0,0.6,Standard,600.0,klang,Steel,None,0
LC,ss,Koffing,40,65,95,60,45,35,1.0,0.6,Standard,109.0,koffing,Poison,None,0
RU,ss,Reuniclus,110,65,75,125,85,30,20.1,1.0,Standard,579.0,reuniclus,Psychic,None,0
RU,sv,Primeape,65,105,60,60,70,95,32.0,1.0,Standard,57.0,primeape,Fighting,None,0
OU,sv,Enamorus-Therian,74,115,110,135,100,46,48.0,1.6,Standard,905.0,enamorus-therian,Fairy,Flying,1
PU,bw,Cherrim,70,60,70,87,78,85,9.3,0.5,Standard,421.0,cherrim,Grass,None,0
LC,sv,Skwovet,70,55,55,35,35,25,2.5,0.3,Standard,819.0,skwovet,Normal,None,0
UU,sv,Grimmsnarl,95,120,65,95,75,60,61.0,1.5,Standard,861.0,grimmsnarl,Dark,Fairy,0
OU,sv,Pikachu-World,35,55,40,50,50,90,6.0,0.4,Standard,25.0,pikachu-world,Electric,None,1
LC,sv,Drifloon,90,50,34,60,44,70,1.2,0.4,Standard,425.0,drifloon,Ghost,Flying,0
LC,sm,Blitzle,45,60,32,50,32,76,29.8,0.8,Standard,522.0,blitzle,Electric,None,0
LC,ss,Morelull,40,35,55,65,75,15,1.5,0.2,Standard,755.0,morelull,Grass,Fairy,0
Uber,ss,Pheromosa,71,137,37,137,37,151,25.0,1.8,Standard,795.0,pheromosa,Bug,Fighting,1
UU,sv,Armarouge,85,60,100,125,80,75,85.0,1.5,Standard,936.0,armarouge,Fire,Psychic,0
LC,sv,Barboach,50,48,43,46,41,60,1.9,0.4,Standard,339.0,barboach,Water,Ground,0
LC,sv,Meowth-Galar,50,65,55,40,40,40,7.5,0.4,Standard,52.0,meowth-galar,Steel,None,0
LC,sv,Grookey,50,65,50,40,40,65,5.0,0.3,Standard,810.0,grookey,Grass,None,0
LC,sv,Oshawott,55,55,45,63,45,45,5.9,0.5,Standard,501.0,oshawott,Water,None,0
RU,sv,Arboliva,78,69,90,125,109,39,48.2,1.4,Standard,930.0,arboliva,Grass,Normal,0
LC,ss,Golett,59,74,50,35,50,35,92.0,1.0,Standard,622.0,golett,Ground,Ghost,0
LC,sm,Wurmple,45,45,35,20,30,20,3.6,0.3,Standard,265.0,wurmple,Bug,None,0
PU,bw,Swoobat,67,57,55,77,55,114,10.5,0.9,Standard,528.0,swoobat,Psychic,Flying,0
NFE,sv,Floette,54,45,47,75,98,52,0.9,0.2,Standard,670.0,floette,Fairy,None,0
OU,sv,Uxie,75,75,130,75,130,95,0.3,0.3,Standard,480.0,uxie,Psychic,None,1
LC,ss,Grubbin,47,62,45,55,45,46,4.4,0.4,Standard,736.0,grubbin,Bug,None,0
NU,sv,Drifblim,150,80,44,90,54,80,15.0,1.2,Standard,426.0,drifblim,Ghost,Flying,0
LC,sm,Rattata-Alola,30,56,35,25,35,72,3.8,0.3,Standard,19.0,rattata-alola,Dark,Normal,0
PU,sv,Spidops,60,79,92,52,86,35,16.5,1.0,Standard,918.0,spidops,Bug,None,0
OU,sv,Inteleon,70,85,65,125,65,120,45.2,1.9,Standard,818.0,inteleon,Water,None,1
NFE,ss,Scraggy,50,75,70,35,70,48,11.8,0.6,Standard,559.0,scraggy,Dark,Fighting,0
LC,sm,Burmy,40,29,45,29,45,36,3.4,0.2,Standard,412.0,burmy,Bug,None,0
PU,xy,Gorebyss,55,84,105,114,75,52,22.6,1.8,Standard,368.0,gorebyss,Water,None,0
LC,sm,Doduo,35,85,45,35,35,75,39.2,1.4,Standard,84.0,doduo,Normal,Flying,0
NU,xy,Poliwrath,90,95,95,70,90,70,54.0,1.3,Standard,62.0,poliwrath,Water,Fighting,0
LC,sv,Rowlet,68,55,55,50,50,42,1.5,0.3,Standard,722.0,rowlet,Grass,Flying,0
LC,ss,Seedot,40,40,50,30,30,30,4.0,0.5,Standard,273.0,seedot,Grass,None,0
OU,sv,Breloom,60,130,80,60,60,70,39.2,1.2,Standard,286.0,breloom,Grass,Fighting,1
LC,sv,Snorunt,50,50,50,50,50,50,16.8,0.7,Standard,361.0,snorunt,Ice,None,0
LC,ss,Duskull,20,40,90,30,90,25,15.0,0.8,Standard,355.0,duskull,Ghost,None,0
PU,ss,Gigalith,85,135,130,60,80,25,260.0,1.7,Standard,526.0,gigalith,Rock,None,0
UU,sv,Pelipper,60,50,100,95,70,65,28.0,1.2,Standard,279.0,pelipper,Water,Flying,0
LC,sm,Weedle,40,35,30,20,20,50,3.2,0.3,Standard,13.0,weedle,Bug,Poison,0
NFE,sv,Marill,70,20,50,20,50,40,8.5,0.4,Standard,183.0,marill,Water,Fairy,0
PU,xy,Relicanth,100,90,130,45,65,55,23.4,1.0,Standard,369.0,relicanth,Water,Rock,0
OU,sv,Hydreigon,92,105,90,125,90,98,160.0,1.8,Standard,635.0,hydreigon,Dark,Dragon,1
LC,ss,Elgyem,55,55,55,85,55,30,9.0,0.5,Standard,605.0,elgyem,Psychic,None,0
PU,bw,Octillery,75,105,75,105,75,45,28.5,0.9,Standard,224.0,octillery,Water,None,0
NFE,ss,Vullaby,70,55,75,45,65,60,9.0,0.5,Standard,629.0,vullaby,Dark,Flying,0
Uber,sv,Palafin,100,70,72,53,62,100,60.2,1.3,Standard,964.0,palafin,Water,None,1
PU,ss,Druddigon,77,120,90,60,90,48,139.0,1.6,Standard,621.0,druddigon,Dragon,None,0
NFE,sm,Servine,60,60,75,60,75,83,16.0,0.8,Standard,496.0,servine,Grass,None,0
PU,ss,Cinccino,75,95,60,65,60,115,7.5,0.5,Standard,573.0,cinccino,Normal,None,0
LC,ss,Klink,40,55,70,45,60,30,21.0,0.3,Standard,599.0,klink,Steel,None,0
LC,ss,Natu,40,50,45,70,45,70,2.0,0.2,Standard,177.0,natu,Psychic,Flying,0
NFE,sv,Braixen,59,59,58,90,70,73,14.5,1.0,Standard,654.0,braixen,Fire,None,0
NU,sm,Accelgor,80,70,40,100,60,145,25.3,0.8,Standard,617.0,accelgor,Bug,None,0
UUBL,bw,Gothitelle,70,55,95,95,110,65,44.0,1.5,Standard,576.0,gothitelle,Psychic,None,1
NUBL,ss,Sirfetch'd,62,135,95,68,82,65,117.0,0.8,Standard,865.0,sirfetch-d,Fighting,None,0
NUBL,sm,Emboar,110,123,65,100,65,65,150.0,1.6,Standard,500.0,emboar,Fire,Fighting,0
PU,bw,Noctowl,100,50,50,76,96,70,40.8,1.6,Standard,164.0,noctowl,Normal,Flying,0
Uber,ss,Lugia,106,90,130,90,154,110,216.0,5.2,Standard,249.0,lugia,Psychic,Flying,1
LC,ss,Spritzee,78,52,60,63,65,23,0.5,0.2,Standard,682.0,spritzee,Fairy,None,0
OU,sv,Regidrago,200,100,50,100,50,80,200.0,2.1,Standard,895.0,regidrago,Dragon,None,1
UU,sv,Greninja,72,95,67,103,71,122,40.0,1.5,Standard,658.0,greninja,Water,Dark,0
RU,ss,Metagross,80,135,130,95,90,70,550.0,1.6,Standard,376.0,metagross,Steel,Psychic,0
PU,bw,Wormadam-Trash,60,69,95,69,95,36,6.5,0.5,Standard,413.0,wormadam-trash,Bug,Steel,0
NFE,sm,Graveler-Alola,55,95,115,45,45,35,110.0,1.0,Standard,75.0,graveler-alola,Rock,Electric,0
NFE,ss,Tangela,65,55,115,100,40,60,35.0,1.0,Standard,114.0,tangela,Grass,None,0
PUBL,ss,Scrafty,65,90,115,45,115,58,30.0,1.1,Standard,560.0,scrafty,Dark,Fighting,0
NFE,sv,Drizzile,65,60,55,95,55,90,11.5,0.7,Standard,817.0,drizzile,Water,None,0
NFE,sm,Monferno,64,78,52,78,52,81,22.0,0.9,Standard,391.0,monferno,Fire,Fighting,0
RU,ss,Marowak-Alola,60,80,110,50,80,45,34.0,1.0,Standard,105.0,marowak-alola,Fire,Ghost,0
PU,sm,Kangaskhan,105,95,80,40,80,90,80.0,2.2,Standard,115.0,kangaskhan,Normal,None,0
LC,sv,Buizel,55,65,35,60,30,85,29.5,0.7,Standard,418.0,buizel,Water,None,0
LC,ss,Skorupi,40,50,90,30,55,65,12.0,0.8,Standard,451.0,skorupi,Poison,Bug,0
LC,sm,Shieldon,30,42,118,42,88,30,57.0,0.5,Standard,410.0,shieldon,Rock,Steel,0
NU,sv,Haunter,45,50,45,115,55,95,0.1,1.6,Standard,93.0,haunter,Ghost,Poison,0
